submitted_on,waterpoint_photo,latitude,longitude,functional_status,current_problem,other_current_problem,water_quality_problems_available,available_water_quality_issues,other_water_quality_issues,households_using_waterpoint,water_unavailable_seasonally,water_unavailable_period,service_provider_available,type_of_provider,waterpoint_committee_active
06/04/2022,https://api.mwater.co/v3/images/e4619786467e4c0288dd6d903e87e7ac,-14.5240718,35.216227,Functional,NA,NA,Yes,Odor or Smell,NA,100,No,NA,Yes,"Area or Water Mechanic, Water Point Committee",Yes 
06/04/2022,https://api.mwater.co/v3/images/65ab1a22b43f42fd9aab932bffa0b522,-15.8063892,35.6458188,Partially functional but in need of repair,Worn out parts,NA,No,NA,NA,150,No,NA,Yes,Community members,NA
06/04/2022,https://api.mwater.co/v3/images/3538fb45eb8a4be384319672b26033fa,-14.5166386,35.1982259,Partially functional but in need of repair,"Broken parts, Inadequate number of pipes",NA,No,NA,NA,25,No,NA,Yes,Area or Water Mechanic,NA
06/04/2022,https://api.mwater.co/v3/images/5f8841c61d0a417584e287a79552059c,-14.5185535,35.2008093,Partially functional but in need of repair,Other,Gashing out of Sand,No,NA,NA,40,No,NA,Yes,Area or Water Mechanic,NA
06/04/2022,https://api.mwater.co/v3/images/d478cde198294b3fbbf1807f5902ffae,-14.523566,35.2146897,No longer exists or abandoned,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
06/04/2022,https://api.mwater.co/v3/images/bfb331e0fd5645f79872f0ec26ac8467,-14.5196178,35.2011547,Partially functional but in need of repair,"Broken parts, Low yield",NA,No,NA,NA,35,No,NA,Yes,"Water Point Committee, Area or Water Mechanic",Yes 
06/04/2022,https://api.mwater.co/v3/images/089662f72d324d2da29277d8825db005,-14.5238668,35.2143085,Not functional,Worn out parts,NA,NA,NA,NA,NA,NA,NA,Yes,Area or Water Mechanic,NA
06/04/2022,https://api.mwater.co/v3/images/578c1567feff42c7b6d73874519b3c96,-14.5233792,35.2123047,Functional,NA,NA,No,NA,NA,25,No,NA,Yes,Area or Water Mechanic,NA
06/04/2022,https://api.mwater.co/v3/images/8a58d605796a49ae816550644f04bbcb,-14.5221052,35.2011395,Functional,NA,NA,No,NA,NA,20,No,NA,Yes,Area or Water Mechanic,NA
06/04/2022,https://api.mwater.co/v3/images/beebce75128440ceb1991a5e9f914139,-14.5226432,35.2018562,Functional,NA,NA,No,NA,NA,10,No,NA,Yes,Area or Water Mechanic,NA
06/04/2022,https://api.mwater.co/v3/images/7d96c11653164e30bdce7b68377925e7,-14.521903,35.2112058,Partially functional but in need of repair,"Low water flow - Low water pressure, Worn out parts",NA,Yes,Salinity or salty water,NA,20,No,NA,Yes,Institution,NA
06/04/2022,https://api.mwater.co/v3/images/a62b2fc8e8cc4725ba20ed1b369f3478,-14.5242385,35.2101193,Partially functional but in need of repair,Worn out parts,NA,No,NA,NA,17,No,NA,Yes,"Area or Water Mechanic, Water Point Committee",Yes 
06/04/2022,https://api.mwater.co/v3/images/22a860111eea46c388afe28b218263e7,-14.516357,35.1971227,Partially functional but in need of repair,"Broken parts, Structural problems - Civil works, apron, etc, Worn out parts",NA,No,NA,NA,13,No,NA,Yes,"Area or Water Mechanic, Unofficial/ Bush Mechanic",NA
06/04/2022,https://api.mwater.co/v3/images/2e05c86faf0747d3a77f60cc1426e779,-14.5228081,35.2009391,Partially functional but in need of repair,Broken parts,NA,No,NA,NA,20,No,NA,Yes,Area or Water Mechanic,NA
06/04/2022,https://api.mwater.co/v3/images/29e24c60b3d145f097adb73bd1426c86,-14.516275,35.1971606,Partially functional but in need of repair,"Broken parts, Structural problems - Civil works, apron, etc, Worn out parts",NA,No,NA,NA,13,No,NA,Yes,"Area or Water Mechanic, Unofficial/ Bush Mechanic",NA
06/04/2022,https://api.mwater.co/v3/images/7415bc69cc3a4c39833f12399b1336c4,-14.5262646,35.2115343,Functional,NA,NA,Yes,Taste ,NA,1,No,NA,Yes,Area or Water Mechanic,NA
06/04/2022,https://api.mwater.co/v3/images/c89f3ab3a34e429685a291bd5329d361,-14.5151133,35.1955449,Partially functional but in need of repair,Worn out parts,NA,No,NA,NA,11,No,NA,Yes,Area or Water Mechanic,NA
06/04/2022,https://api.mwater.co/v3/images/bd07e9b6c1f541079fb6d63da3412d79,-14.5226381,35.2026039,Partially functional but in need of repair,Broken parts,NA,No,NA,NA,7,No,NA,Yes,Area or Water Mechanic,NA
06/04/2022,https://api.mwater.co/v3/images/f5a83e81da04455c958a41ea83dff637,-14.5261238,35.2128346,Functional,NA,NA,No,NA,NA,75,No,NA,Yes,"Area or Water Mechanic, Water Point Committee",Yes 
06/04/2022,https://api.mwater.co/v3/images/58be84ce7dba471c9a6078ea81b084aa,-14.5162113,35.1987969,Functional,NA,NA,No,NA,NA,8,No,NA,Yes,Owner / Private household,NA
06/04/2022,https://api.mwater.co/v3/images/78821bd5b7264c6d88e444b56c2e78f4,-14.5157217,35.19848,Partially functional but in need of repair,Low yield,NA,No,NA,NA,20,No,NA,Yes,Area or Water Mechanic,NA
06/04/2022,https://api.mwater.co/v3/images/d7d7824090564a57aad383b67a37fe16,-14.51548,35.199125,Partially functional but in need of repair,Broken parts,NA,No,NA,NA,21,No,NA,Yes,Area or Water Mechanic,NA
06/04/2022,https://api.mwater.co/v3/images/92dd4aa4d9524c788d348777f61f0e8f,-14.5275052,35.2142421,Functional,NA,NA,No,NA,NA,55,No,NA,Yes,"Area or Water Mechanic, Water Point Committee",Yes 
06/04/2022,https://api.mwater.co/v3/images/b45a9c2f681d40fb8b875d7f0625cf29,-14.5154142,35.1978203,Functional,NA,NA,No,NA,NA,20,No,NA,Yes,Area or Water Mechanic,NA
06/04/2022,https://api.mwater.co/v3/images/f899112a7a8548cfbf7ce201a772b19a,-14.5155276,35.1973613,Partially functional but in need of repair,"Broken parts, Worn out parts",NA,No,NA,NA,22,No,NA,Yes,"Area or Water Mechanic, Unofficial/ Bush Mechanic",NA
06/04/2022,https://api.mwater.co/v3/images/bfc03108841a4b0ca4e6f21becee4846,-14.5249299,35.2145261,Functional,NA,NA,Yes,Salinity or salty water,NA,65,No,NA,Yes,"Area or Water Mechanic, Water Point Committee",Yes 
06/04/2022,https://api.mwater.co/v3/images/cf3bb5e8eede453a81287903f9224858,-14.5181525,35.2002729,Functional,NA,NA,Yes,Sediment presence,NA,25,Yes,"11, 12",Yes,"Community members, Area or Water Mechanic",NA
06/04/2022,https://api.mwater.co/v3/images/f74ec71569474c9b8765facf08502c06,-14.5209029,35.2011244,Functional,NA,NA,No,NA,NA,12,Yes,"10, 11",Yes,"Area or Water Mechanic, Community members",NA
06/04/2022,https://api.mwater.co/v3/images/8b85a9ead3944932b023b64332e2b943,-14.5189307,35.2014472,Functional,NA,NA,Yes,Turbidity or cloudy water ,NA,12,No,NA,Yes,Area or Water Mechanic,NA
06/04/2022,https://api.mwater.co/v3/images/e8709a7cc2e0495ea4ac96b5b0ee4cdd,-14.5247707,35.2151296,Functional,NA,NA,No,NA,NA,40,No,NA,Yes,Area or Water Mechanic,NA
06/04/2022,https://api.mwater.co/v3/images/39163ded2326405eb46ffb43d04fc3ad,-14.5234602,35.2156845,Not functional,Worn out parts,NA,NA,NA,NA,NA,NA,NA,Yes,Area or Water Mechanic,NA
06/04/2022,https://api.mwater.co/v3/images/3bf63fcdc2de42d1ae17c09543803dcf,-14.5250126,35.2166393,Partially functional but in need of repair,Worn out parts,NA,Yes,Salinity or salty water,NA,35,Yes,10,Yes,"Area or Water Mechanic, Water Point Committee",Yes 
06/04/2022,https://api.mwater.co/v3/images/1c5336fa5fcf42e281e10919e845f844,-14.5178741,35.1994139,Partially functional but in need of repair,"Broken parts, Worn out parts",NA,No,NA,NA,18,No,NA,Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/c0ac899c8e7f41aebfb66a733cc7e75f,-14.5230445,35.2165161,Functional,NA,NA,No,NA,NA,17,No,NA,Yes,"Area or Water Mechanic, Water Point Committee",Yes 
07/04/2022,https://api.mwater.co/v3/images/ec591536cab84d62952ec9e14cc623e4,-14.5167258,35.1977527,Partially functional but in need of repair,Worn out parts,NA,No,NA,NA,15,No,NA,Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/b68fe471d0004ea0a95007d826fcf1ab,-14.5160131,35.1955697,Partially functional but in need of repair,Worn out parts,NA,No,NA,NA,6,No,NA,Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/805b940bfa4b4836b6ee5bcdbb42d28e,-14.4868233,35.182,Not functional,Broken parts,NA,NA,NA,NA,NA,NA,NA,Yes,Unofficial/ Bush Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/85dd19e8cbba4673ace3ec2877b0ec0e,-14.48651,35.180245,Partially functional but in need of repair,Worn out parts,NA,No,NA,NA,15,No,NA,Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/54654d907fe642b68b320e107d693926,-14.5195206,35.2003564,Partially functional but in need of repair,"Broken parts, Worn out parts",NA,No,NA,NA,27,No,NA,Yes,"Area or Water Mechanic, Water Point Committee",Yes 
07/04/2022,https://api.mwater.co/v3/images/82826bea96a84f9f904f025692530e18,-14.4678461,35.1483461,Partially functional but in need of repair,Broken parts,NA,Yes,Salinity or salty water,NA,40,No,NA,Yes,"Area or Water Mechanic, Water Point Committee",Yes 
07/04/2022,https://api.mwater.co/v3/images/ff6db05ea7e5448aa41688b72e48da4a,-14.5215794,35.2157915,Functional,NA,NA,No,NA,NA,3,No,NA,Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/f0fbfe895d4c4aa4a04fef800f66e693,-14.4871639,35.179798,Partially functional but in need of repair,Worn out parts,NA,No,NA,NA,15,No,NA,Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/9f9470c0e5e74f288886764cc9a2f2c6,-14.5202176,35.200997,Partially functional but in need of repair,Worn out parts,NA,No,NA,NA,3,No,NA,Yes,Area or Water Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/5a5d98ea6fb1417fbb8271b2eba9df50,-14.4878017,35.1789,Not functional,Broken parts,NA,NA,NA,NA,NA,NA,NA,Yes,Unofficial/ Bush Mechanic,NA
07/04/2022,https://api.mwater.co/v3/images/2a728fe425824390bf48628f578d5bb3,-14.5257785,35.2151473,Not functional,"Broken parts, Structural problems - Civil works, apron, etc, Worn out parts",NA,NA,NA,NA,NA,NA,NA,Yes,"Area or Water Mechanic, Water Point Committee",Yes 
